,compounds,ncbi_tax_id,organism_name,file
117,"[{'chem_acts': ['Antibacterial', 'Cytotoxic'], 'chem_moieties': [{'moiety': 'Tetronate'}], 'chem_struct': 'CC1C[C@]23OC(=O)C4=C2OC1C(O)C3\\C=C/C(=O)[C@@H](C)C[C@@H](C)C4=O', 'chem_targets': [{'target': 'PabB'}, {'target': 'p-aminobenzoate (pABA) pathway'}], 'compound': 'abyssomicin C', 'database_id': ['npatlas:1961', 'pubchem:71455791', 'chembl:1651097'], 'mol_mass': 346.141638424, 'molecular_formula': 'C19H22O6'}, {'chem_acts': ['Antibacterial', 'Cytotoxic'], 'chem_moieties': [{'moiety': 'Tetronate'}], 'chem_struct': 'CC1CC23OC(=O)C4=C2OC1C(O)C3\\C=C/C(=O)C(C)CC(C)C4=O', 'chem_targets': [{'target': 'PabA'}, {'target': 'p-aminobenzoate (pABA) pathway'}], 'compound': 'atrop-abyssomicin C', 'database_id': ['npatlas:18239', 'chemspider:19955692'], 'mol_mass': 346.141638424, 'molecular_formula': 'C19H22O6'}]",263358,Verrucosispora maris AB-18-032,mibig_json_2.0/BGC0000001.json
1887,"[{'chem_struct': 'CCCC(O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)C(C)C(O)C(CC)\\C=C\\C(O)C(C)C1C\\C=C(C)\\C(O)C(C)C(CC(O)C(C)C(O)CC2CC(O)C(O)C(O)(CC(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O[C@H]4C[C@@H](N)[C@H](O)[C@@H](C)O4)[C@H]3O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)C(C)CCC(O)CC(O)C\\C=C(CC)\\C(=O)O1)O2)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O', 'compound': 'aculeximycin', 'database_id': ['npatlas:9222', 'pubchem:6449919'], 'mol_mass': 1672.9651350679992, 'molecular_formula': 'C81H144N2O33'}]",1449976,Kutzneria albida DSM 43870,mibig_json_2.0/BGC0000002.json
1451,"[{'chem_struct': 'CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O', 'compound': 'AF-toxin', 'database_id': ['pubchem:6442850'], 'mol_mass': 440.20463260399987, 'molecular_formula': 'C22H32O9'}]",5599,Alternaria alternata,mibig_json_2.0/BGC0000003.json
1304,"[{'chem_struct': '[H][C@@]12OC=C[C@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCOC1=O', 'compound': 'aflatoxin G1', 'database_id': ['npatlas:14300'], 'mol_mass': 328.058302724, 'molecular_formula': 'C17H12O7'}]",5062,Aspergillus oryzae,mibig_json_2.0/BGC0000004.json
1076,"[{'chem_struct': 'COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1', 'compound': 'aflatoxin', 'database_id': ['pubchem:14421'], 'mol_mass': 328.058302724, 'molecular_formula': 'C17H12O7'}]",5067,Aspergillus parasiticus,mibig_json_2.0/BGC0000005.json
741,"[{'chem_struct': 'COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1', 'compound': 'aflatoxin', 'database_id': ['pubchem:14421'], 'mol_mass': 328.058302724, 'molecular_formula': 'C17H12O7'}]",5059,Aspergillus flavus,mibig_json_2.0/BGC0000006.json
700,"[{'chem_struct': 'COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1', 'compound': 'aflatoxin', 'database_id': ['pubchem:14421'], 'mol_mass': 328.058302724, 'molecular_formula': 'C17H12O7'}]",5059,Aspergillus flavus,mibig_json_2.0/BGC0000007.json
1405,"[{'chem_struct': 'COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1', 'compound': 'aflatoxin', 'database_id': ['pubchem:14421'], 'mol_mass': 328.058302724, 'molecular_formula': 'C17H12O7'}]",5059,Aspergillus flavus,mibig_json_2.0/BGC0000008.json
977,"[{'chem_struct': 'COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1', 'compound': 'aflatoxin', 'database_id': ['pubchem:14421'], 'mol_mass': 328.058302724, 'molecular_formula': 'C17H12O7'}]",41061,Aspergillus nomius,mibig_json_2.0/BGC0000009.json
751,"[{'chem_struct': 'COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1', 'compound': 'aflatoxin', 'database_id': ['pubchem:14421'], 'mol_mass': 328.058302724, 'molecular_formula': 'C17H12O7'}]",5059,Aspergillus flavus,mibig_json_2.0/BGC0000010.json
