,0,chem_acts,chem_moieties,chem_struct,chem_synonyms,chem_targets,compound,database_id,evidence,mass_spec_ion_type,mol_mass,molecular_formula
0,,"['Antibacterial', 'Cytotoxic']",[{'moiety': 'Tetronate'}],CC1C[C@]23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)[C@@H](C)C[C@@H](C)C4=O,,"[{'target': 'PabB'}, {'target': 'p-aminobenzoate (pABA) pathway'}]",abyssomicin C,"['npatlas:1961', 'pubchem:71455791', 'chembl:1651097']",,,346.141638424,C19H22O6
1,,"['Antibacterial', 'Cytotoxic']",[{'moiety': 'Tetronate'}],CC1CC23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)C(C)CC(C)C4=O,,"[{'target': 'PabA'}, {'target': 'p-aminobenzoate (pABA) pathway'}]",atrop-abyssomicin C,"['npatlas:18239', 'chemspider:19955692']",,,346.141638424,C19H22O6
0,,,,CCCC(O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)C(C)C(O)C(CC)\C=C\C(O)C(C)C1C\C=C(C)\C(O)C(C)C(CC(O)C(C)C(O)CC2CC(O)C(O)C(O)(CC(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O[C@H]4C[C@@H](N)[C@H](O)[C@@H](C)O4)[C@H]3O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)C(C)CCC(O)CC(O)C\C=C(CC)\C(=O)O1)O2)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,,,aculeximycin,"['npatlas:9222', 'pubchem:6449919']",,,1672.9651350679992,C81H144N2O33
0,,,,CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O,,,AF-toxin,['pubchem:6442850'],,,440.20463260399987,C22H32O9
0,,,,[H][C@@]12OC=C[C@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCOC1=O,,,aflatoxin G1,['npatlas:14300'],,,328.058302724,C17H12O7
0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
