,,0,chem_acts,chem_moieties,chem_struct,chem_synonyms,chem_targets,compound,database_id,evidence,mass_spec_ion_type,mol_mass,molecular_formula
0,0,,"['Antibacterial', 'Cytotoxic']",[{'moiety': 'Tetronate'}],CC1C[C@]23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)[C@@H](C)C[C@@H](C)C4=O,,"[{'target': 'PabB'}, {'target': 'p-aminobenzoate (pABA) pathway'}]",abyssomicin C,"['npatlas:1961', 'pubchem:71455791', 'chembl:1651097']",,,346.141638424,C19H22O6
0,1,,"['Antibacterial', 'Cytotoxic']",[{'moiety': 'Tetronate'}],CC1CC23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)C(C)CC(C)C4=O,,"[{'target': 'PabA'}, {'target': 'p-aminobenzoate (pABA) pathway'}]",atrop-abyssomicin C,"['npatlas:18239', 'chemspider:19955692']",,,346.141638424,C19H22O6
0,2,mibig_json_2.0/BGC0000001.json,,,,,,,,,,,
1,0,,,,CCCC(O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)C(C)C(O)C(CC)\C=C\C(O)C(C)C1C\C=C(C)\C(O)C(C)C(CC(O)C(C)C(O)CC2CC(O)C(O)C(O)(CC(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O[C@H]4C[C@@H](N)[C@H](O)[C@@H](C)O4)[C@H]3O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)C(C)CCC(O)CC(O)C\C=C(CC)\C(=O)O1)O2)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,,,aculeximycin,"['npatlas:9222', 'pubchem:6449919']",,,1672.9651350679992,C81H144N2O33
1,1,mibig_json_2.0/BGC0000002.json,,,,,,,,,,,
2,0,,,,CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O,,,AF-toxin,['pubchem:6442850'],,,440.20463260399987,C22H32O9
2,1,mibig_json_2.0/BGC0000003.json,,,,,,,,,,,
3,0,,,,[H][C@@]12OC=C[C@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCOC1=O,,,aflatoxin G1,['npatlas:14300'],,,328.058302724,C17H12O7
3,1,mibig_json_2.0/BGC0000004.json,,,,,,,,,,,
4,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
4,1,mibig_json_2.0/BGC0000005.json,,,,,,,,,,,
5,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
5,1,mibig_json_2.0/BGC0000006.json,,,,,,,,,,,
6,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
6,1,mibig_json_2.0/BGC0000007.json,,,,,,,,,,,
7,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
7,1,mibig_json_2.0/BGC0000008.json,,,,,,,,,,,
8,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
8,1,mibig_json_2.0/BGC0000009.json,,,,,,,,,,,
9,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
9,1,mibig_json_2.0/BGC0000010.json,,,,,,,,,,,
10,0,,,,[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC1=C(C(O)=CC=C1)C2=O,,,sterigmatocystin,"['npatlas:5925', 'pubchem:5280389']",,,324.063388104,C18H12O6
10,1,mibig_json_2.0/BGC0000011.json,,,,,,,,,,,
11,0,,,,CCC(C)/C=C(\C)/CCCC(C)/C=C(\C)/C=C(\C)/CC(C)C1=C(C(=C(C(=O)O1)C)O)C,,,alternapyrone,['pubchem:57467994'],,,428.3290452679999,C28H44O3
11,1,mibig_json_2.0/BGC0000012.json,,,,,,,,,,,
12,0,,,,CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O,,,alternariol,['pubchem:5359485'],,,258.05282342000004,C14H10O5
12,1,mibig_json_2.0/BGC0000013.json,,,,,,,,,,,
13,0,,,,CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C,,,ambruticin,['pubchem:6918547'],,,474.2981390639999,C28H42O6
13,1,mibig_json_2.0/BGC0000014.json,,,,,,,,,,,
14,0,,['Antifungal'],,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,,,amphotericin B,['pubchem:5386092'],,,923.4878498760003,C47H73NO17
14,1,mibig_json_2.0/BGC0000016.json,,,,,,,,,,,
15,0,,['Neurotoxic'],,CC(=O)C1=CCC[C@@H]2CC[C@H]1N2,,[{'target': 'Nicotinic acetylcholine receptor'}],anatoxin-a,['pubchem:3034748'],,,165.1153641,C10H15NO
15,1,,['Neurotoxic'],,CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2,,[{'target': 'Nicotinic acetylcholine receptor'}],homoanatoxin-a,['pubchem:126727'],,,179.131014164,C11H17NO
15,2,mibig_json_2.0/BGC0000017.json,,,,,,,,,,,
16,0,,,,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC,,,angolamycin,['pubchem:6438267'],,,915.519150004,C46H77NO17
16,1,mibig_json_2.0/BGC0000018.json,,,,,,,,,,,
17,0,,,,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC,,,angolamycin,['pubchem:6438267'],,,915.519150004,C46H77NO17
17,1,mibig_json_2.0/BGC0000019.json,,,,,,,,,,,
18,0,,,,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)[C@H](C)N(C)C(=O)C)C)\C)OC)(NC(=O)O2)O,,,maytansine,['pubchem:5281828'],,,691.2871723520001,C34H46ClN3O10
18,1,,,,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O,,,ansamitocin P-3,,,,634.2657086359999,C32H43ClN2O9
18,2,mibig_json_2.0/BGC0000020.json,,,,,,,,,,,
19,0,,,,COC[C@@H](C[C@H]1O[C@@](O)([C@H](O)[C@@H]2C[C@H](OC)[C@@H](O)CC\C=C(/C)\C=C\[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)\C=C(/C)\C=C(/C)\C=C(C)\C(=O)O2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1,,,apoptolidin,"['npatlas:13146', 'pubchem:44403674']",,,1128.644410092,C58H96O21
19,1,mibig_json_2.0/BGC0000021.json,,,,,,,,,,,
20,0,,,,CCC(C)C=C(C)C=CC(=O)C1=C2CC(O)C(C)(O)C(=O)C2=CO1,,,asperfuranone,['npatlas:10580'],,,332.162373868,C19H24O5
20,1,mibig_json_2.0/BGC0000022.json,,,,,,,,,,,
21,0,,"['Antifungal', 'Cytotoxic']",,CC(C)C\C=C(/C)[C@H](O)[C@H](C)\C=C\C=C/[C@@H](O)CC1=C(C)C(=O)C(C)(O)O1,,[{'target': 'cholesterol biosynthesis'}],aurafuron A,['npatlas:1119'],,,378.2406241879999,C22H34O5
21,1,mibig_json_2.0/BGC0000023.json,,,,,,,,,,,
22,0,,"['Antibacterial', 'Antifungal', 'Cytotoxic', 'insecticide']","[{'moiety': 'para-nitrobenzoate', 'subcluster': ['CAE02603.1', 'CAE02601.1']}]",CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2,,,aureothin,"['pubchem:6436188', 'chemspider:5029106']",,,397.15253745599995,C22H23NO6
22,1,mibig_json_2.0/BGC0000024.json,,,,,,,,,,,
23,0,,,,CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,,,avermectin,['pubchem:6858006'],,,872.492206984,C48H72O14
23,1,mibig_json_2.0/BGC0000025.json,,,,,,,,,,,
24,0,,['Antibacterial'],"[{'moiety': 'Orsellinic acid', 'subcluster': ['AAK83178.1', 'AAK83194.1']}]",C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)C1C([C@@]([C@H](O9)C)(C(=O)C)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C,"['2,3-deoxy-Flambamycin', 'A-23575', '72000-71-6', 'AC1L3V8O', 'AC1Q5C6R', 'KST-1A7824', 'AR-1A2994', 'LS-89288']",[{'target': '50S ribosomal subunit'}],avilamycin A,"['pubchem:122779', 'chemspider:16735687']",,,1402.463576016,C61H88Cl2O32
24,1,,['Antibacterial'],"[{'moiety': 'Orsellinic acid', 'subcluster': ['AAK83178.1', 'AAK83194.1']}]",C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C,"['SCHEMBL6753731', '69787-80-0']",[{'target': '50S ribosomal subunit'}],avilamycin C,"['pubchem:20055307', 'chemspider:16736581']",,,1404.47922608,C61H90Cl2O32
24,2,mibig_json_2.0/BGC0000026.json,,,,,,,,,,,
25,0,,,,CCCCCCCC(=O)C1C2CC3=C(COC(\C=C\C)=C3)C(=O)C2(C)OC1=O,,,ankaflavin,"['npatlas:5638', 'pubchem:15294091']",,,386.2093240599999,C23H30O5
25,1,,,,[H]\C(C)=C(\[H])C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(=O)CCCCC)[C@@]1([H])C2,,,monascin,"['npatlas:9686', 'pubchem:12118082']",,,358.17802393200003,C21H26O5
25,2,,,,CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C,,,rubropunctatine,['npatlas:17529'],,,354.146723804,C21H22O5
25,3,,,,CCCCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C,,,monascorubrin,"['npatlas:2306', 'pubchem:12118084']",,,382.1780239319999,C23H26O5
25,4,mibig_json_2.0/BGC0000027.json,,,,,,,,,,,
26,0,,"['Antibacterial', 'Antifungal', 'antineoplastic, immunosuppressive']",,COC1\C=C\C=C(C)\CC(C)C(O)C(C)\C=C(/C)\C=C(OC)\C(=O)OC1C(C)C(O)C(C)C1(O)CC(OC(=O)\C=C\C(=O)NC2=C(O)CCC2=O)C(C)C(O1)C(C)C,,,bafilomycin B1,['npatlas:2171'],,,815.4455911399999,C44H65NO13
26,1,mibig_json_2.0/BGC0000028.json,,,,,,,,,,,
27,0,,['Cytotoxic'],,CCC\C=C\CC1C\C=C\C=C(/C)\C=C\C=C/C(O)C(O)\C=C(/C)\C=C\C=C\C(=O)N1,,,BE-14106,"['npatlas:17806', 'pubchem:6439426']",,,423.277344044,C27H37NO3
27,1,mibig_json_2.0/BGC0000029.json,,,,,,,,,,,
28,0,,,,CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C4C(=C3O)C(=O)C=C(C4=O)OC)O)OC,,,bikaverin,['pubchem:5281730'],,,382.0688674079999,C20H14O8
28,1,mibig_json_2.0/BGC0000030.json,,,,,,,,,,,
29,0,,"['Antibacterial', 'Cytotoxic']",,[H][C@]1(CCC[C@H]1C(O)=O)[C@]1([H])C\C=C\C=C(C#N)/[C@H](O)[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O1,['Treponemycin'],[{'target': 'Threonyl-tRNA synthetase'}],borrelidin,['npatlas:11087'],,,489.30903809599994,C28H43NO6
29,1,mibig_json_2.0/BGC0000031.json,,,,,,,,,,,
30,0,,,,[H][C@@](C)(C(=O)C1=CC=CN1)[C@@]1([H])O[C@@]2(CC[C@@H](C)[C@@]([H])(CC3=NC4=C(O3)C=CC(NC)=C4C(O)=O)O2)[C@H](C)C[C@H]1C,,,A23187,['npatlas:3386'],,,523.2682359039999,C29H37N3O6
30,1,mibig_json_2.0/BGC0000032.json,,,,,,,,,,,
31,0,,,,CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\C#C[C@]\4(CC(=O)C(=C3/C4=C\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O,,,calicheamicin,['pubchem:6438329'],,,1367.2742383879997,C55H74IN3O21S4
31,1,mibig_json_2.0/BGC0000033.json,,,,,,,,,,,
32,0,,,,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O,,,candicidin,['pubchem:6445669'],,,1108.5719138480003,C59H84N2O18
32,1,mibig_json_2.0/BGC0000034.json,,,,,,,,,,,
33,0,,,,CO[C@@H]1C[C@H](C)O[C@H](OC2C(C)CC(C)(O)C(=O)\C=C\C3OC3C(CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)C(C)OC(=O)\C=C\C2C)[C@H]1O,,,chalcomycin A,['npatlas:4454'],,,700.367006472,C35H56O14
33,1,mibig_json_2.0/BGC0000035.json,,,,,,,,,,,
34,0,,['Antibacterial'],"[{'moiety': '6-methylsalicylic acid', 'subcluster': ['chlb1', 'chlb2', 'chlb3', 'chlb4', 'chlb5', 'chlb6']}]",C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C(Cl)=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O,['chl'],[{'target': 'Pyruvate biosynthesis'}],chlorothricin,,,,940.3648135520001,C49H61ClO16
34,1,,['Antibacterial'],,C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O,['deschl'],[{'target': 'Pyruvate biosynthesis'}],deschlorothricin,,,,906.4037859040001,C49H62O16
34,2,mibig_json_2.0/BGC0000036.json,,,,,,,,,,,
35,0,,,,CC1=C(C=C2C(=C1OC)CNC2=O)O,,,cichorine,['pubchem:442849'],,,193.073893212,C10H11NO3
35,1,mibig_json_2.0/BGC0000037.json,,,,,,,,,,,
36,0,,,,C/C=C/C(=O)/C/1=C/C(=C\2/C=CCCN2)/SC[CH](C(=O)O1)NC(=O)C,,,coelimycin P1,['chemspider:27475147'],,,348.11437811999997,C17H20N2O4S
36,1,mibig_json_2.0/BGC0000038.json,,,,,,,,,,,
37,0,,,,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12,,,compactin,"['npatlas:18102', 'pubchem:64715']",,,408.2511888719999,C23H36O6
37,1,mibig_json_2.0/BGC0000039.json,,,,,,,,,,,
38,0,,,,[H][C@@]1(OC(=O)\C(OC)=C\C(\C)=C\[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@H](C)C\C(C)=C\C=C\[C@@H]1OC)[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O[C@H]2C[C@@H](O)[C@H](OC(N)=O)[C@@H](C)O2)[C@H](C)[C@H](O1)\C=C\C,,,concanamycin A,"['npatlas:14456', 'pubchem:6917059']",,,865.51875608,C46H75NO14
38,1,mibig_json_2.0/BGC0000040.json,,,,,,,,,,,
39,0,,,,[H][C@]12CCC(=O)[C@@]1([H])C[C@@H](CC)C=C2C(O)=O,,,oronofacic acid,['npatlas:13714'],,,208.109944372,C12H16O3
39,1,mibig_json_2.0/BGC0000041.json,,,,,,,,,,,
40,0,,,,CCCCCCC1CC(=O)CCCC(O)C\C(O)=C2/C(CC(O[C@H]3C[C@H](OC)[C@H](O)[C@@H](C)O3)C2=O)\C=C(/C)\C=C/C=C\C(=O)N1,,,cremimycin,"['npatlas:15915', 'pubchem:6449106']",,,631.3720322759998,C35H53NO9
40,1,mibig_json_2.0/BGC0000042.json,,,,,,,,,,,
41,0,,,,CO[C@H](CC\C(C)=C\C=C\CC\C=C/[C@H]1CSC(=N1)[C@@H]1C[C@@H]1C)CC=C,,,curacin A,"['npatlas:3438', 'pubchem:6438908']",,,373.24393574000004,C23H35NOS
41,1,mibig_json_2.0/BGC0000043.json,,,,,,,,,,,
