,,0,chem_acts,chem_moieties,chem_struct,chem_synonyms,chem_targets,compound,database_id,evidence,mass_spec_ion_type,mol_mass,molecular_formula,Unnamed: 0,ncbi_tax_id,organism_name
mibig_json_2.0/BGC0000001.json,0,,"['Antibacterial', 'Cytotoxic']",[{'moiety': 'Tetronate'}],CC1C[C@]23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)[C@@H](C)C[C@@H](C)C4=O,,"[{'target': 'PabB'}, {'target': 'p-aminobenzoate (pABA) pathway'}]",abyssomicin C,"['npatlas:1961', 'pubchem:71455791', 'chembl:1651097']",,,346.141638424,C19H22O6,117,263358,Verrucosispora maris AB-18-032
mibig_json_2.0/BGC0000001.json,1,,"['Antibacterial', 'Cytotoxic']",[{'moiety': 'Tetronate'}],CC1CC23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)C(C)CC(C)C4=O,,"[{'target': 'PabA'}, {'target': 'p-aminobenzoate (pABA) pathway'}]",atrop-abyssomicin C,"['npatlas:18239', 'chemspider:19955692']",,,346.141638424,C19H22O6,117,263358,Verrucosispora maris AB-18-032
mibig_json_2.0/BGC0000002.json,0,,,,CCCC(O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)C(C)C(O)C(CC)\C=C\C(O)C(C)C1C\C=C(C)\C(O)C(C)C(CC(O)C(C)C(O)CC2CC(O)C(O)C(O)(CC(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O[C@H]4C[C@@H](N)[C@H](O)[C@@H](C)O4)[C@H]3O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)C(C)CCC(O)CC(O)C\C=C(CC)\C(=O)O1)O2)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,,,aculeximycin,"['npatlas:9222', 'pubchem:6449919']",,,1672.9651350679992,C81H144N2O33,1887,1449976,Kutzneria albida DSM 43870
mibig_json_2.0/BGC0000003.json,0,,,,CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O,,,AF-toxin,['pubchem:6442850'],,,440.20463260399987,C22H32O9,1451,5599,Alternaria alternata
mibig_json_2.0/BGC0000004.json,0,,,,[H][C@@]12OC=C[C@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCOC1=O,,,aflatoxin G1,['npatlas:14300'],,,328.058302724,C17H12O7,1304,5062,Aspergillus oryzae
mibig_json_2.0/BGC0000005.json,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7,1076,5067,Aspergillus parasiticus
mibig_json_2.0/BGC0000006.json,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7,741,5059,Aspergillus flavus
mibig_json_2.0/BGC0000007.json,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7,700,5059,Aspergillus flavus
mibig_json_2.0/BGC0000008.json,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7,1405,5059,Aspergillus flavus
mibig_json_2.0/BGC0000009.json,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7,977,41061,Aspergillus nomius
mibig_json_2.0/BGC0000010.json,0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7,751,5059,Aspergillus flavus
mibig_json_2.0/BGC0000011.json,0,,,,[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC1=C(C(O)=CC=C1)C2=O,,,sterigmatocystin,"['npatlas:5925', 'pubchem:5280389']",,,324.063388104,C18H12O6,682,138278,Aspergillus ochraceoroseus
mibig_json_2.0/BGC0000012.json,0,,,,CCC(C)/C=C(\C)/CCCC(C)/C=C(\C)/C=C(\C)/CC(C)C1=C(C(=C(C(=O)O1)C)O)C,,,alternapyrone,['pubchem:57467994'],,,428.3290452679999,C28H44O3,1288,48100,Alternaria solani
mibig_json_2.0/BGC0000013.json,0,,,,CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O,,,alternariol,['pubchem:5359485'],,,258.05282342000004,C14H10O5,1097,227321,Aspergillus nidulans FGSC A4
mibig_json_2.0/BGC0000014.json,0,,,,CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C,,,ambruticin,['pubchem:6918547'],,,474.2981390639999,C28H42O6,1871,56,Sorangium cellulosum
mibig_json_2.0/BGC0000016.json,0,,['Antifungal'],,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,,,amphotericin B,['pubchem:5386092'],,,923.4878498760003,C47H73NO17,390,40318,Streptomyces nodosus
mibig_json_2.0/BGC0000017.json,0,,['Neurotoxic'],,CC(=O)C1=CCC[C@@H]2CC[C@H]1N2,,[{'target': 'Nicotinic acetylcholine receptor'}],anatoxin-a,['pubchem:3034748'],,,165.1153641,C10H15NO,100,272129,[Oscillatoria] sp. PCC 6506
mibig_json_2.0/BGC0000017.json,1,,['Neurotoxic'],,CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2,,[{'target': 'Nicotinic acetylcholine receptor'}],homoanatoxin-a,['pubchem:126727'],,,179.131014164,C11H17NO,100,272129,[Oscillatoria] sp. PCC 6506
mibig_json_2.0/BGC0000018.json,0,,,,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC,,,angolamycin,['pubchem:6438267'],,,915.519150004,C46H77NO17,1742,42237,Streptomyces eurythermus
mibig_json_2.0/BGC0000019.json,0,,,,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC,,,angolamycin,['pubchem:6438267'],,,915.519150004,C46H77NO17,1608,42237,Streptomyces eurythermus
mibig_json_2.0/BGC0000020.json,0,,,,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)[C@H](C)N(C)C(=O)C)C)\C)OC)(NC(=O)O2)O,,,maytansine,['pubchem:5281828'],,,691.2871723520001,C34H46ClN3O10,339,42198,Actinosynnema pretiosum subsp. auranticum
mibig_json_2.0/BGC0000020.json,1,,,,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O,,,ansamitocin P-3,,,,634.2657086359999,C32H43ClN2O9,339,42198,Actinosynnema pretiosum subsp. auranticum
