organism_name,NO,compound
Verrucosispora maris AB-18-032,0,abyssomicin C
Verrucosispora maris AB-18-032,1,atrop-abyssomicin C
Kutzneria albida DSM 43870,0,aculeximycin
Alternaria alternata,0,AF-toxin
Aspergillus oryzae,0,aflatoxin G1
Aspergillus parasiticus,0,aflatoxin
Aspergillus flavus,0,aflatoxin
Aspergillus flavus,0,aflatoxin
Aspergillus flavus,0,aflatoxin
Aspergillus nomius,0,aflatoxin
Aspergillus flavus,0,aflatoxin
Aspergillus ochraceoroseus,0,sterigmatocystin
Alternaria solani,0,alternapyrone
Aspergillus nidulans FGSC A4,0,alternariol
Sorangium cellulosum,0,ambruticin
Streptomyces nodosus,0,amphotericin B
[Oscillatoria] sp. PCC 6506,0,anatoxin-a
[Oscillatoria] sp. PCC 6506,1,homoanatoxin-a
Streptomyces eurythermus,0,angolamycin
Streptomyces eurythermus,0,angolamycin
Actinosynnema pretiosum subsp. auranticum,0,maytansine
Actinosynnema pretiosum subsp. auranticum,1,ansamitocin P-3
Nocardiopsis sp. FU 40,0,apoptolidin
Aspergillus nidulans FGSC A4,0,asperfuranone
Stigmatella aurantiaca DW4/3-1,0,aurafuron A
Streptomyces thioluteus,0,aureothin
Streptomyces avermitilis,0,avermectin
Streptomyces viridochromogenes Tue57,0,avilamycin A
Streptomyces viridochromogenes Tue57,1,avilamycin C
Monascus pilosus,0,ankaflavin
Monascus pilosus,1,monascin
Monascus pilosus,2,rubropunctatine
Monascus pilosus,3,monascorubrin
Streptomyces lohii,0,bafilomycin B1
Streptomyces sp. DSM 21069,0,BE-14106
Fusarium fujikuroi IMI 58289,0,bikaverin
Streptomyces parvulus,0,borrelidin
Streptomyces chartreusis NRRL 3882,0,A23187
Micromonospora echinospora,0,calicheamicin
Streptomyces sp. FR-008,0,candicidin
Streptomyces bikiniensis,0,chalcomycin A
Streptomyces antibioticus,0,chlorothricin
Streptomyces antibioticus,1,deschlorothricin
Aspergillus nidulans FGSC A4,0,cichorine
Streptomyces coelicolor A3(2),0,coelimycin P1
Penicillium citrinum,0,compactin
Streptomyces neyagawaensis,0,concanamycin A
Pseudomonas syringae,0,oronofacic acid
Streptomyces sp. MJ635-86F5,0,cremimycin
Moorea producens 19L,0,curacin A
Stigmatella aurantiaca DW4/3-1,0,dawenol
Aspergillus terreus,0,dehydrocurvularin
Alternaria brassicicola,0,depudecin
Streptomyces sp. KCTC 0041BP,0,"10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin"
Dothistroma septosporum,0,dothistromin
Streptomyces aculeolatus,0,E-837
Kitasatospora aburaviensis,0,ebelactone A
Kitasatospora aburaviensis,1,ebelactone B
Streptomyces aizunensis,0,ECO-02301
Unknown. Unclassified.,0,elaiophylin
Aeromicrobium erythreum,0,erythromycin
Saccharopolyspora erythraea NRRL 2338,0,erythromycin A
Saccharopolyspora erythraea NRRL 2338,1,erythromycin B
Saccharopolyspora erythraea NRRL 2338,2,erythromycin C
Saccharopolyspora erythraea NRRL 2338,3,erythromycin D
Actinomadura verrucosospora,0,esperamicin
Aspergillus nidulans FGSC A4,0,F9775A
Aspergillus nidulans FGSC A4,1,F9775B
Aspergillus nidulans FGSC A4,2,orsellinic acid
Streptomyces graminofaciens,0,FD-891
Streptomyces avermitilis MA-4680 = NBRC 14893,0,filipin
Streptomyces pulveraceus,0,fostriecin
Streptomyces sp. FR-008,0,levorin A3
Streptomyces sp. FR-008,1,C06690
Streptomyces sp. FR-008,2,FR-008-III
Streptomyces sp. FR-008,3,candicidin A
Streptomyces sp. FR-008,4,UNII-AP5PEF5W7U
Fusarium verticillioides,0,fumonisin B1
Fusarium oxysporum,0,fumonisin
Fusarium verticillioides,0,fusarin
Streptomyces galbus,0,rustmicin
Streptomyces hygroscopicus,0,geldanamycin
Streptomyces hygroscopicus subsp. duamyceticus,0,geldanamycin
Streptomyces hygroscopicus,0,geldanamycin
Archangium violaceum Cb vi76,0,gephyronic acid
Penicillium aethiopicum,0,griseofulvin
Penicillium aethiopicum,1,epidechlorogriseofulvin
Penicillium aethiopicum,2,norlichexanthone
Penicillium aethiopicum,3,dehydrogriseofulvin
Penicillium aethiopicum,4,4-desmethylgriseofulvin
